Genre,Poem
Death,"Smelling of sweet resin the Aleppo pines' shadows grow taller by the hour. Two identical twin boys chase each other through the shadows, the one who's ten minutes older yelling, I'm gonna kill you while the younger one laughs, Kill me, kill me if you can! Day by day these teatime mortars keep pecking at the blast"
Affection,Your laughter is the sugar that sweetens my bitter hours
Music,The theremin sings ghost duets with the space between fingers and air
Music,"We should not have produced all this life.Let’s say I amin a state of heightened attentiveness.Is this my gift? Do I take your head in my handsand swivel it, or cast marbles around our feet, make a line I bring you behind?Now: see the man on wire, taste the papery"
Death,The coffin ate your shadow and now the sun lies about noon
Affection,"‘Farewell to barn and stack and tree, Farewell to Severn shore. Terence, look your last at me, For I come home no more.‘The sun burns on the half-mown hill, By now the blood is dried; And Maurice amongst the hay lies still"
Environment,"The dark wood after the dark wood: the coldafter cold in April's false November. In that second worser place: more gone, less there, but in that lurid present present, cast and held, rooted, kept, like some old false-berried yew.Just against; the door leading to prefermentshut; no longer believing in"
Sorrow,Your favorite song plays in every supermarket aisle like a taunt
Affection,"When April bends above me And finds me fast asleep, Dust need not keep the secret A live heart died to keep.When April tells the thrushes, The meadow-larks will know, And pipe the three words lightly To all the winds that blow.Above his roof the swallows, In notes like far-blown rain, Will tell the little sparrow Beside his window-pane.O"
Affection,Your voice is my personal north in this magnetized world
Music,"In this room, hours pass, a slightcorruption of each previousallotted time block—and probablyconfirm failure and humiliation,which though not ideal, I acceptas historically accurate. I’m sickof lifestyle Music, the thing betweenawe and detachment which Hazlittdefines as adrift. I clear my throatremind myself, doors are locked,the ashtray half-full. Unless otherwisenoted, light falls"
Affection,We are synchronized swimmers in an ocean we created
Music,"Jazz spills like accidental alchemy, wrong notes brewing perfect chemistry"
Death,"un-shaken, moving un-restricted through the blank season, counting the dead, counting the days, counting heart beats, back to worms, back to dustvback to this un-necessary burden, sometimes in terror, sometimes a reversal crushed beneath another categorical persistence, another dream creature who does not speak."
Environment,"Lightning forks the sky's black cake, serving portions of electric plasma"
Environment,"when life is quite through with and leaves say alas, much is to do for the swallow,that closes a flight in the blue;when love's had his tears out, perhaps shall pass a million years (while a bee dozes on the poppies,the dears;when all's done and said,and under the grass lies her head by oaks and roses deliberated.)"
Death,The mortician applies your smile like wallpaper over silence
Music,"Ojhas are [medicine men, “the ones next to God,” religious ministers or priests who deal with the daily struggles of the village people]; this dynamic allows the village ojha to control the circulation of rumors, and he is the village member who has the power to trap daayans (witches). In"
Affection,"Room after room,I hunt the house throughWe inhabit together.Heart, fear nothing, for, heart, thou shalt find her,Next time, herself!—not the trouble behind herLeft in the curtain, the couch’s perfume!As she brushed it, the cornice-wreath blossomed anew,—Yon looking-glass gleamed at the wave of her feather."
Death,The gravedigger's shovel bites earth like a starving mouth
Sorrow,"I collect your voice in glass jars, but the syllables fade like distant stars"
Environment,The thunder drums its fat fingers on the sky's tight skin
Environment,The canyon hums hymns only erosion can sing
Death,"The clock's hands wilt like dying flowers, time bows before eternal hours"
Music,"You know how it pretendsto have a broken wing tolure predators away from itsnest, how it staggers just outof reach . . . if, at this moment, you’re feeling metaphorical,nest can be the whateverinside us that we think needsprotection, the whatever that issmall"
Death,"As in green, vert, a royal demesne     stocked with deer. Invert as in tippedas a snow globe, going nowhere in circlesbut not lost, not bereft as the woodwithout deer, waiting for the white antleredbuck, or his does, or any slim yearlingto step along the berm, return. Vertigoas in whirling round,"
Death,My mother lives under the ground so I am drawn to that countrystill air coolswater trickles black roots tower down in her houseup here a skynever whole buoys aroundlight of the moon
Environment,The glacier writes its slow autobiography in icy paragraphs
Environment,The river whispers its secrets to stubborn stones
Sorrow,Grief is the echo that outlasts the voice
Death,"I am going to die.No such thought has ever occurred to mesince the beginning of my exclusive timein air, when God, having made my mind,first began to wrap it, slowly and continuously,in strips of linen soaked in a special admixtureof rosewater, chicken fat, and pineconesstudded with cloves to stop them"
Sorrow,I press your old letters to my skin hoping the ink will seep back into you
Sorrow,I sleep on your side of the bed to haunt your absence
Sorrow,"I collect your voice in glass jars, but the syllables fade like distant stars"
Affection,Your breath writes sonnets on the back of my neck
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Death,The hospice nurse smoothed your pillow like a bookmark
Environment,"It was a clandestine winter of television; We were so tired of the fashion blogs.The moist world was doing what it could To think at pinkish dusk.I say this from the position of having already been emptied That summer I heard the chora in the beergarden.Vitality, monstrosity, sociability, anarchy—these are standing in for"
Sorrow,Depression is a cathedral where every stained glass window depicts your face
Environment,"In the Sixties Nabokov switchedfrom ink to eraser- topped pencilon index cardsa box of cards for Adaa boxof cards for dreams whose ""curious features""include ""erotic tenderness and heart-rending enchantment""in one draft he traded ""stillness and heat""for ""silence, a burning"
Affection,"when life is quite through with and leaves say alas, much is to do for the swallow,that closes a flight in the blue;when love's had his tears out, perhaps shall pass a million years (while a bee dozes on the poppies,the dears;when all's done and said,and under the grass lies her head by oaks and roses deliberated.)"
Environment,"Come with rain, O loud Southwester!Bring the singer, bring the nester;Give the buried flower a dream;Make the settled snowbank steam;Find the brown beneath the white;But whate’er you do tonight,Bathe my window, make it flow,Melt it as the ice will go;Melt the glass and leave the sticksLike a hermit’s crucifix;Burst into"
Music,The harp plucks sunlight from the air like ripe fruit
Sorrow,I wear your memory like a watch that stopped at your last heartbeat
Death,"I am come—I am come! once again from the tomb,In return for the ring which you gave;That I am thine, and that thou art mine,This nuptial pledge receive.""He lay like a corse 'neath the Demon's force,"
Sorrow,I wear your memory like a watch that stopped at your last heartbeat
Sorrow,"Your toothbrush stands sentinel in the holder, still loyal"
Sorrow,My ribs are wind chimes clinking empty tunes when storms pass through
Affection,Your eyelashes write sonnets on my chest when you blink against me
Environment,"Oh, give us pleasure in the flowers to-day; And give us not to think so far away As the uncertain harvest; keep us here All simply in the springing of the year.Oh, give us pleasure in the orchard white, Like nothing else by day, like ghosts by night; And make us happy in the happy"
Environment,"Oh strong-ridged and deeply hollowednose of mine! what will you not be smelling?What tactless asses we are, you and I, boney nose,always indiscriminate, always unashamed,and now it is the souring flowers of the bedraggledpoplars: a festering pulp on the wet earthbeneath them. With what deep thirstwe quicken our desiresto that"
Environment,"The glacier writes its memoir in slow, icy cursive"
Death,"I have a rendezvous with Life, In days I hope will come, Ere youth has sped, and strength of mind, Ere voices sweet grow dumb. I have a rendezvous with Life, When Spring's first heralds hum. Sure some would cry it's better far To crown their days with sleep Than face the road, the wind and rain, To heed"
Sorrow,I press your old letters to my skin hoping the ink will seep back into you
Affection,"We lay in shade diaphanous And spoke the light that burns in usAs in the glooming’s net I caught her, She shimmered like reflected water!Romantic and emphatic moods Are not for her whom life eludes...Its vulgar tinsel round her fold? She'd rather shudder with the cold,Attend just this elusive hour, A shadow in a shadow"
Sorrow,My bones are wind chimes clinking empty tunes when storms pass through
Affection,when god lets my body beFrom each brave eye shall sprout a tree fruit that dangles therefromthe purpled world will dance upon Between my lips which did singa rose shall beget the spring that maidens whom passion wasteswill lay between their little breasts My strong fingers beneath the snowInto strenuous birds shall go my love
Affection,"what I really mean. He paints my name across the floral bed sheet and ties the bottom corners to my ankles. Then he paints another for himself. We walk into town and play the shadow game, saying Oh! I'm sorry for stepping on your shadow! and Please be careful! My shadow is"
Death,"Translated from French by Marilyn HackerFor Eliane, Mireille, and ReginaWe dreamed of a phlegmatic life for"
Affection,We are two flames sharing one wick
Music,"You might say fear is a predictable emotion & I might agree. Whenever my husband leaves for his graveyard shift, when he prepares to walk out into the abyss of black sky, I am afraid tonight will be the night I become a widow. I don't want to love like this. But here we are: walking hand in hand in our parkas down the"
Death,The cancer folded your lungs like origami birds
Music,The bassoon gargles its dark wine of lonely midnights
Death,"The Blue Dress—died on August 6, 2015, along with the little blue flowers,all silent. Once the petals looked up. Now small pieces of dust. I wonderwhether they burned the dress or justthe body? I wonder who lifted her upinto the fire? I wonder if her hair"
Music,The cello's strings are spiderwebs glistening with morning grief
Death,"Death, I say, my heart is bowedUnto thine, O mother! This red gown will make a shroudGood as any other.(I, that would not wait to wearMy own bridal things, In a dress dark as my hairMade my answerings.I, to-night, that"
Sorrow,I sleep on your side of the bed to haunt your absence
Affection,"Your smile is the melody of my soul, a tune I dance to when the world feels cold"
Sorrow,"I collect your voice in glass jars, but the syllables fade like distant stars"
Environment,"Welcome, all hail to thee!     Welcome, young Spring!Thy sun-ray is bright     On the butterfly’s wing.Beauty shines forth     In the blossom-robed trees;Perfume floats by     On the soft southern breeze.Music, sweet Music,     Sounds over the earth;One glad choral song     Greets the primrose’s birth;The lark soars above,     With its shrill matin strain;The shepherd"
Music,The snare drum marches its stiff-legged soldiers toward silence
Affection,"You are beautiful and faded,Like an old opera tunePlayed upon a harpsichord;Or like the sun-flooded silksOf an eighteenth-century boudoir. In your eyesSmoulder the fallen roses of outlived minutes,And the perfume of your soulIs vague and suffusing,With the pungence of sealed spice-jars.Your half-tones delight me,And I grow mad with gazingAt your"
Music,"In this room, hours pass, a slightcorruption of each previousallotted time block—and probablyconfirm failure and humiliation,which though not ideal, I acceptas historically accurate. I’m sickof lifestyle Music, the thing betweenawe and detachment which Hazlittdefines as adrift. I clear my throatremind myself, doors are locked,the ashtray half-full. Unless otherwisenoted, light falls"
Death,The cemetery gates moan like old cribs rocking nothing
Affection,"What are we first? First, animals; and next Intelligences at a leap; on whom Pale lies the distant shadow of the tomb, And all that draweth on the tomb for text. Into which state comes Love, the crowning sun: Beneath whose light the shadow loses form. We are the lords of life, and life is warm. Intelligence"
Sorrow,I dial your number just to hear the void say 'disconnected'
Death,The cancer folded your lungs like origami birds
Environment,Siwashing It Out Once in Suislaw ForestI slept under rhododendron All nightblossoms fell Shivering on
Death,"Translated from French by Marilyn HackerFor Eliane, Mireille, and ReginaWe dreamed of a phlegmatic life for"
Affection,Your laughter plants tulip bulbs along my ribs each spring
Environment,The dandelions plant their fuzzy flags in concrete cracks
Environment,"The morning comes, and thickening clouds prevail, Hanging like curtains all the horizon round, Or overhead in heavy stillness sail; So still is day, it seems like night profound; Scarce by the city’s din the air is stirred, And dull and deadened comes"
Environment,"Rivers tongue their way through stone, whispering obscenities to canyons"
Death,I. the mind wanders as a line of poetry taking flight meanders in the way birds spreading wings lift into space knowing skies are full of surprises like errançities encountering restless journeys as in the edgy solos of miles davis or jimi hendrixlisten to night-song of sea waves crashing in foaming with voices carrying liquid
Environment,ILike a gondola of green scented fruits
Affection,We are twin flames burning the same oxygen in perfect sync
Death,The funeral roses pretend not to hear the dirt's cruel applause
Death,The hearse carries all the tomorrows you'll never spend
Affection,Your hands are the only maps I trust without question
Music,"The wind then, through seams of bluestem, or switchgrass swayed by a coyote’s passing.Where the fabric gapes, Barthes said, lies the sensual. A prairie cutby winding seeps, or winds or shearing wings. Mare’s tails, mackerels, cirrus,distance dispersed as light. Under a buzzard’s bank and spiral the prairie folds and unfolds.Here between the stands of"
Music,The piano hammers bite the strings like silver wolves
Environment,"Behold the dread Mt. Shasta, where it standsImperial midst the lesser heights, and, likeSome mighty unimpassioned mind, companionlessAnd cold. The storms of Heaven may beat in wrathAgainst it, but it stands in unpollutedGrandeur still; and from the rolling mists upheavesIts tower of pride e’en purer than before.The wintry showers"
Death,The cemetery grass grows greener where your laughter fertilizes soil
Death,"Suddenly night crushed out the day and hurled Her remnants over cloud-peaks, thunder-walled. Then fell a stillness such as harks appalled When far-gone dead return upon the world.There watched I for the Dead; but no ghost woke. Each one whom Life exiled I named and called. But they were all too far, or dumbed, or"
Sorrow,Your favorite song plays in every store like a taunt
Environment,"Dandelions wage guerrilla warfare, conquering cracks in concrete despair"
Environment,"Dandelions wage guerrilla warfare, conquering cracks in concrete despair"
Sorrow,Grief is learning to type with half the keys missing from the keyboard
Environment,"when life is quite through with and leaves say alas, much is to do for the swallow,that closes a flight in the blue;when love's had his tears out, perhaps shall pass a million years (while a bee dozes on the poppies,the dears;when all's done and said,and under the grass lies her head by oaks and roses deliberated.)"
Affection,We are two shadows holding hands at high noon
Music,"The piano's teeth bite moonlight sonatas, chewing darkness into shattered data"
Death,"Jupiter means anger. Sun Ra does not. Sun Ra dances the Cake Walk on Saturn’s pulpy eyes. If you believe that, I’ll tell you another one. The first is 13 and the next is 20. They were not good boys but they were boys. They were boys who died for"
Environment,"The water understands Civilization well; It wets my foot, but prettily, It chills my life, but wittily, It is not disconcerted, It is not broken-hearted: Well used, it decketh joy, Adorneth, doubleth joy: Ill used, it will destroy, In perfect time and measure With a face of golden pleasure Elegantly destroy."
Music,The violin's bow draws blood from the silence
Sorrow,"I collect your voice in glass jars, but the syllables fade like distant stars"
Environment,"Frost etches dendrite poems on windowpanes, winter's delicate neural network"
Sorrow,My bones are wind chimes clinking empty tunes when storms pass through
Environment,"And I behold once moreMy old familiar haunts; here the blue river,The same blue wonder that my infant eyeAdmired, sage doubting whence the traveller came,—Whence brought his sunny bubbles ere he washedThe fragrant flag-roots in my father’s fields,And where thereafter in the world he went.Look, here he is, unaltered, save"
Death,"Shame on you for dating a museum:Everything is dead there and nothing is alive.Not everyone who lives to be old embracesthe publicity of it all. I mean, you get up and folkswant to know, How did you get here? What makes yougo? What is the secret? And there is no"
Music,"dedicated to my 30/30 crewpraise daily poems in my inboxhow they make me laugh in one stanza,then break my heart the nextpraise how poets hold onto our first loves,and scent of mama, now gonepraise how we nurture our child self,gently wrap her around stanzas,baby girl is resilientpraise our spunk and"
Music,The church organ exhales dust from its ancient iron lungs
Environment,"I lie here thinking of you:—the stain of love is upon the world! Yellow, yellow, yellow it eats into the leaves, smears with saffron the horned branches that lean heavily against a smooth purple sky! There is no light only a honey-thick stain that drips from leaf to leaf and limb to limb spoiling the colors of the whole world—you far off there"
Sorrow,I sleep on your side of the bed to fool the emptiness
Music,"Because I did not have to smell the cow’s fear, because I did not have to pin the man, watch his eyes go feral, because I did not have to drag the stonesthat formed in the child’s body, because I did not sheathemy hands in dank soil, or skirt the"
Environment,The wildfire writes its manifesto in ember runes
Affection,"THOU wouldst be loved?—then let thy heartFrom its present pathway part not!Being everything which now thou art,Be nothing which thou art not."
Death,"Always before your voice my soulhalf-beautiful and wholly drollis as some smooth and awkward foal,whereof young moons beginthe newness of his skin, so of my stupid sincere youththe exquisite failure uncouthdiscovers a trembling and smoothUnstrength,against the strongsilences of your song; or as"
Sorrow,I archive your laughter in a jar but the sound leaks through glass
Death,The hospice clock ticks like a mute judge counting down
Environment,"In the Sixties Nabokov switchedfrom ink to eraser- topped pencilon index cardsa box of cards for Adaa boxof cards for dreams whose ""curious features""include ""erotic tenderness and heart-rending enchantment""in one draft he traded ""stillness and heat""for ""silence, a burning"
Environment,"The dark wood after the dark wood: the coldafter cold in April's false November. In that second worser place: more gone, less there, but in that lurid present present, cast and held, rooted, kept, like some old false-berried yew.Just against; the door leading to prefermentshut; no longer believing in"
Death,"Gravestones grow from flesh like crystals, memory's slow geology"
Sorrow,I trace your name on fogged mirrors just to see it fade again
Affection,"Translated from Portuguese by John KeeneThe first time I kissed It was my girlfriends who kissed They invented a flavor, a style, a smell My lips weren't there.The first time I kissed The prince was chosen by these dreaming girls He was a jerk to me A toad, a dragon that spat its fire on meI"
Music,"Maybe silence adds to the pain and maybe pain adds to the sea and maybe the sea is only a reflection of a ruin today where the mind is unable to make out how things used to be for us: complete, with deities, a kind oforder. Oh never mind the ATMsscattered throughout the medieval"
Music,"Storms are generous.                                      Something so easy to surrender to, sitting by the window, and then you step out into the garden you were so bored of,"
Affection,Your breath against my neck writes poems no pen could ever trace
Music,The cello's strings are spiderwebs glistening with morning grief
Death,"Since I'm condemned to Death by your decree, Fabio, and don't appeal, resist or flee the wrathful judgment, hear me, for there's no culprit of such guilt should be refused confession.Because, you say, you've been informed my breast has caused offence to you, I stand condemned, ferocious one.Does uncertain news, not fact, achieve more in your obdurate"
Death,"All the hills and vales alongEarth is bursting into song,And the singers are the chapsWho are going to die perhaps.    O sing, marching men,    Till the valleys ring again.    Give your gladness to earth’s keeping,    So be glad, when you are sleeping."
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Sorrow,I wear your old shirts as bandages over invisible wounds
Sorrow,Your coffee cup still stains the shelf where you left it half-full
Death,"They all wore little hats Vermont that  I Can see, the river its coronet Of yellow beetles—crawling, Flying—the flowers wearing The river for a hat. I can see thatWhen I stand alone Upon this acre as now Sober and living, the same, the same.They wore: Hats. They are not dead, John and Johnny and John, Which is a fine name for a"
Environment,The avalanche writes its will in exclamation points of snow
Music,"Sometimes it pays to go to Bojangles. To drive out of the parking lot, see the red awning: Fish &Duck Skills. A man walks out and it is broad daylight. Back when I was a new adult in Chattanooga I’d dare myself to go to the Adult Book Shop on Market Street in"
Death,The dots are on order     Cops patrolthe larger subway stationson segways     Nobodygets out of the way    YesterdayI had a colonoscopy    which required fastingfor 40 hours and taking so much laxativeI shat water    Now my body is cleanI'm cleansed    and have the opportunityto put only good things in    To
Sorrow,I sleep on your side of the bed to haunt your absence
Music,The children were askinga thousand questions about whythe sky was blue and grass was greenwhen suddenly their tongueswere stilled by an answer theynever saw. Now silence ringsin their place so loud a stonecan hear it in Arkansas.So why not the men insidethe sky who only hear the roarbeneath their wings
Environment,"Our heart wanders lost in the dark woods. Our dream wrestles in the castle of doubt. But there's Music in us. Hope is pushed down but the angel flies up again taking us with her. The summer mornings begin inch by inch while we sleep, and walk with us later as long-legged beauty through the dirty streets."
Environment,"The tremulously mirrored clouds lie deep,Enchanted towers bosomed in the stream,And blossomed coronals of white-thorn gleamWithin the water where the willows sleep—Still-imaged willow-leaves whose shadows steepThe far-reflected sky in dark of dream;And glimpsed therein the sun-winged swallows seemAs fleeting memories to those who weep."
Environment,"When foxes eat the last gold grape, And the last white antelope is killed, I shall stop fighting and escape Into a little house I'll build.But first I'll shrink to fairy size, With a whisper no one understands, Making blind moons of all your eyes, And muddy roads of all your hands.And you may grope for"
Affection,"She recognizes its crest in the way he looks at her. The wave is as vast as the roiling mass in the Japanese Print they had paused in front of at the museum, Capped with ringlets of foam, all surging sinew. That little village along the shore would be Totally lost. There is no escaping"
Affection,Your voice is the only compass that never lies about north
Music,The church bells yawn their bronze vowels across empty streets
Death,"Once upon a midnight dreary, while I pondered, weak and weary, Over many a quaint and curious volume of forgotten lore— While I nodded, nearly napping, suddenly there came a tapping, As of some one gently rapping, rapping at my chamber door— ""'Tis some visitor,"" I muttered, ""tapping at my chamber door—"
Music,The vinyl record wears its grooves like tree rings of forgotten dances
Affection,"We share silence like split pomegranates, juicy with unspoken seeds"
Sorrow,"Tears carve rivers on cheeks of stone, grief's weight turns flesh to bone"
Environment,The canyon carves its slow poem in layers of ancient rock
Sorrow,Your absence is the splinter I can't remove but always feel
Affection,Your voice is my personal north star in a magnetized universe
Music,The theremin weeps for all the almost-touches that never were
Sorrow,"Your toothbrush stands sentinel in the holder, still loyal"
Death,The autopsy revealed your heart was a library with all books overdue
Death,"The egg is skinned in water, born beforethe body. Salt as a nut, bare with blood,the shallows pink with ache: be arable,bear me towards the water, let me haveyou. I freeze you: cell-throb & wake meinside the afterlife. On that day, Death didcome as a white ram. Egg, we slit"
Environment,"The Wind is sewing with needles of rain. With shining needles of rain It stitches into the thin Cloth of earth. In, In, in, in. Oh, the wind has often sewed with me. One, two, three.Spring must have fine things To wear like other springs. Of silken green the grass must be Embroidered. One and two and three. Then every"
Music,The saxophone spills its liquid night onto the pavement
Sorrow,"Your toothbrush stands sentinel in the holder, still loyal"
Sorrow,Grief is the echo that outlives the voice
Death,"for Seamus Heaney a box of coconut watertwo cans of coconut milk so many looking for help some people care when a poet dies a poem is a consciencea report card, a confession: today my lies were a motor that spun the Earth how can you get"
Affection,Your voice is the only compass that never lies about north
Music,"For most in the United States the word brings a phase when mortars in Vietnam still whistled around them and the scandal of Nixon and his Machiavellian buds poured from the news into their subconscious—I see that Watergate too: the televised hearings, and in particular one session—Sam Ervin had just asked Ehrlichman or Dean or Haldeman,"
Environment,"STARS, SCATTERSTILL. Constellations of people and quiet. Those nights when nothing catches, nothing also is artless. I walked for hours in those forests, my legs a canvas of scratches,trading on the old hopes—we were meant to be lost. But being lostmeans not knowing what it means. Inside the meadow is the grass,rich"
Music,you’re embarrassed by your own om you say—planning your funeral considering deep drones only a limited number of patterns exist for such a song played in one breath a prayer for a pregnant woman’s easy delivery a tender preamble for a new instrument a piece played for expressing gratitude a state of mind resembling moonlight a lighter
Death,"I will not walk in the wood to-night, I will not stand by the water’s edge And see day lie on the dusk’s bright ledge Until it turn, a star at its breast, To rest.I will not see the wide-flung hills Closing darkly about my grief, I wore a crown of their lightest leaf, But now they"
Environment,"The Wind is sewing with needles of rain. With shining needles of rain It stitches into the thin Cloth of earth. In, In, in, in. Oh, the wind has often sewed with me. One, two, three.Spring must have fine things To wear like other springs. Of silken green the grass must be Embroidered. One and two and three. Then every"
Sorrow,Your absence is the hole in every conversation's doughnut
Environment,"No gate, no main entrance, no ticket, no ranger. Not farFrom where Frost once raised chickens and ill-fated children, nearWhere the Old Man’s glacier-hewn face though bolstered toIts godlike roost by rods and turnbuckles slidFrom our fledgling millennium into oblivion,You can cross the Pemigewasset on a bridgeThen, compass-north but southbound"
Sorrow,I wear your old shirts as bandages over invisible wounds
Environment,"O world, I cannot hold thee close enough!Thy winds, thy wide grey skies!Thy mists that roll and rise!Thy woods, this autumn day, that ache and sagAnd all but cry with colour! That gaunt cragTo crush! To lift the lean of that black bluff!World, World, I cannot get thee close enough!Long"
Affection,Your voice is the lighthouse guiding me through fogged memories
Environment,"Why make so much of fragmentary blue In here and there a bird, or butterfly, Or flower, or wearing-stone, or open eye, When heaven presents in sheets the solid hue?Since earth is earth, perhaps, not heaven (as yet)— Though some savants make earth include the sky; And blue so far above us comes so high, It"
Sorrow,I wear your absence like a wool coat in July - itchy and unbearable
Death,The coffin ate your shadow and now the sun lies about noon
Music,The piano's hammers strike like gentle guillotines for butterflies
Death,"Like burnt-out torches by a sick man’s bed    Gaunt cypress-trees stand round the sun-bleached stone;    Here doth the little night-owl make her throne,And the slight lizard show his jewelled head.And, where the chaliced poppies flame to red,    In the still chamber of yon pyramid    Surely some Old-World Sphinx lurks darkly"
Environment,"Rivers tongue their way through stone, whispering obscenities to canyons"
Environment,dew grass a fire shine mountain a lung pine cone the bone tsunami rock hawk jaw gravity a fall all consuming a song chirp for sunlight spine daggers cracking the sky an ocean paused in its crashing creature shake trip whistle rustle nut squirrel swish stump thunder or thump thump a swallowing you beautiful urchin you rot mound of moss.
Environment,"Is it agony that has bleached them to such beauty? Their standis at the edge of our property—white spires like fingers, through which the deer emerge with all the tentative grace of memory. Your fatherloved these trees. When you try to imagine his childhood, it is all oldfootage, in"
Affection,We are two shadows sharing one silhouette at noon
Sorrow,I dial your number just to hear the void say 'disconnected'
Death,"Exiled afar from youth and happy love,            If Death should ravish my fond spirit henceI have no doubt but, like a homing dove,            It would return to its dear residence,And through a thousand stars find out the roadBack into the earthly flesh that was its loved abode."
Sorrow,Your favorite mug grows a museum patina of dust and regret
Death,"Cancer unfolded like origami in reverse, your body becoming paper"
Sorrow,I wear your memory like a watch that stopped at your last breath
Sorrow,I still buy your favorite tea though it gathers dust
Music,white-throat sparrows/full of note/netted in the eventide/voices sawing the trees/fragile little bodies/tracing frantic circlesnot understanding/what we must all come to accept/not one day
Environment,Dawn arrives as a shy watercolorist washing night from canvas skies
Sorrow,Your favorite song plays in every supermarket aisle like a taunt
Environment,"This is the moment when you see again the red berries of the mountain ash and in the dark sky the birds' night migrations.It grieves me to think the dead won't see them— these things we depend on, they disappear.What will the soul do for solace then? I tell myself maybe it won't need these pleasures anymore;maybe"
Sorrow,I sleep on your side of the bed to fool the emptiness
Affection,We are twin flames sharing one wick
Death,"If trees fall in a wood and no one hears them,Do they exist except as a page of linesThat words of rapture or grief are written on?They are lines too while alive, pointing awayFrom the primer of damped air and leafmoldThat underlie, or would if certain of themWere not melon"
Environment,"I observe: ""Our sentimental friend the moon!"
Affection,"O my luve's like a red, red rose, That's newly sprung in June; O my luve's like the melodie That's sweetly played in tune.As fair art thou, my bonnie lass, So deep in luve am I; And I will luve thee still, my"
Sorrow,Your absence is the splinter I can't locate but always feel
Death,"Snow is a strange white word; No ice or frost Has asked of bud or bird For Winter’s cost.Yet ice and frost and snow From earth to sky This Summer land doth know; No man knows why.In all men’s hearts it is: Some spirit old Hath turned with malign kiss Our lives to mould.Red fangs have torn His face, God’s"
Music,It turns out however that I was deeply Mistaken about the end of the world
Environment,The thunder drums its fat fingers on the sky's taut skin
Sorrow,I keep your last text like a life raft in my pocket
Affection,Your voice is my personal compass in a magnetized world
Affection,Your heartbeat deciphers morse code my lips press against your spine
Affection,Your hands are the only maps I trust
Environment,ILike a gondola of green scented fruits
Death,"I that in heill was and gladness Am trublit now with great sickness And feblit with infirmitie:Timor Mortis conturbat me.Our plesance here is all vain glory, This fals world is but transitory, The flesh is bruckle, the Feynd is slee:Timor Mortis conturbat me. The state of man does"
Affection,"What lips my lips have kissed, and where, and why,I have forgotten, and what arms have lainUnder my head till morning; but the rainIs full of ghosts tonight, that tap and sighUpon the glass and listen for reply,And in my heart there stirs a quiet"
Sorrow,I press your old letters to my skin hoping the ink will seep back into you
Music,"When the dead returnthey will come to you in dreamand in waking, will be the birdknocking, knocking against glass, seekinga way in, will masqueradeas the wind, its voice made audibleby the tongues of leaves, greedilylapping, as the waves’ self-made fugueis a turning"
Death,"Out of the rolling ocean, the crowd, came a drop gently to me, Whispering I love you, before long I die, I have travel'd a long way, merely to look on you to touch you, For I could not die till I once look'd on you, For I fear'd I might afterward lose you.Now"
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Music,The cymbals crash like dropped trays of light
Sorrow,I wear your old shirts as bandages over invisible wounds
Affection,We are parallel lines intersecting at infinity's party
Music,"This is not how it begins but how you understand it. I walk many kilometers and find myself to be the same— the same moon hovering over the same, bleached sky, and when the officer calls me it is a name I do not recognize, a self I do not recognize. We are asked to"
Environment,"The dark wood after the dark wood: the coldafter cold in April's false November. In that second worser place: more gone, less there, but in that lurid present present, cast and held, rooted, kept, like some old false-berried yew.Just against; the door leading to prefermentshut; no longer believing in"
Sorrow,I still buy your favorite tea though it gathers dust
Music,"No matter how he wrested himself silent in night, six days post-stroke he woke fluent in former languages, backtracking this time here. Mercy nurses, attendants, remedied in their own. Once he registered, all he cawed out was if it’s too far gone, we need"
Music,The metronome ticks like a tiny guillotine for seconds
Music,The bassoon gargles its dark wine of lonely winters
Sorrow,I wear your memory like a watch that stopped at your last heartbeat
Sorrow,I dial your number just to hear the void say 'disconnected'
Affection,Your voice is my personal north in this magnetized world
Environment,"This little bowl is like a mossy pool In a Spring wood, where dogtooth violets grow Nodding in chequered sunshine of the"
Death,"The egg is skinned in water, born beforethe body. Salt as a nut, bare with blood,the shallows pink with ache: be arable,bear me towards the water, let me haveyou. I freeze you: cell-throb & wake meinside the afterlife. On that day, Death didcome as a white ram. Egg, we slit"
Sorrow,I keep our inside jokes in mason jars but they've all gone stale
Affection,"Shall I compare thee to a summer's day? Thou art more lovely and more temperate. Rough winds do shake the darling buds of May, And summer's lease hath all too short a date. Sometime too hot the eye of heaven shines, And often is his gold complexion dimmed; And every fair from fair sometime declines, By chance,"
Environment,"Cicadas drill through August afternoons, their buzzsaws carving heat"
Sorrow,My bones are wind chimes clinking empty tunes when storms pass through
Music,"This is not how it begins but how you understand it. I walk many kilometers and find myself to be the same— the same moon hovering over the same, bleached sky, and when the officer calls me it is a name I do not recognize, a self I do not recognize. We are asked to"
Music,"I watched in horror as the man hung half a pig by a hook in the window.Nearby, the sea shone or something. Nearby, the wingspan of a hawk cast an elongated shadow.I listened with horror to the words I was missing. A wrongness was growing in the living moon.& nearby, the sea rolled"
Affection,Your eyes are the only constellations I ever learned by heart
Music,The theremin sings ghost duets with the space between fingers and air
Death,The gravestone weathers faster than the lie of 'forever'
